ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),ABP Association,Burinated,Redesignated? (Y/N/U),Tephra Association,File Type (2D/3D),Scale (Y/N),Out,Ldk,Holo,FN,Additional Information
42,Bregnier-Cordon,Bregnier-Cordon,France,5.61,45.64,Whole,Unspecified,Unspecified,Teyjat Point,Combier and Debrosse 1964,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Bre-Cor.1,
43,Bresahn,Bresahn,Germany,10.92,53.63,Whole,Lyngby,Segebro-Bromme,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bres.1,Schwabedissen 1954
44,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Lyngby Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.2,
45,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Lyngby Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.3,
46,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Lyngby Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.6,
47,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Lyngby Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.7,
48,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Lyngby Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.9,
49,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Lyngby Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.10,
50,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Lyngby Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.11,
51,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Lyngby Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.12,
52,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Lyngby Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.13,
53,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Lyngby Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.14,
54,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Lyngby Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.15,
55,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Ahrensburgian Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.16,
56,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Ahrensburgian Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.17,
57,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Ahrensburgian Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.19,
58,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Ahrensburgian Point,Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Bro.20,
59,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,Y,Y,N,2D,Y,X,,,Bro.21,
60,Bromme,Bromme,Denmark,11.51,55.49,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Taute 1968,Excavation,Absolute,,,10720,90,AAR-4539,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,Y,Y,N,2D,Y,X,,,Bro.22,
