ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),ABP Association,Burinated,Redesignated? (Y/N/U),Tephra Association,File Type (2D/3D),Scale (Y/N),Out,Ldk,Holo,FN,Additional Information
283,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,Y,N,N,2D,Y,X,,,Gro.Ro.III.7,
284,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Gro.Ro.III.8,
285,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Teyjat Point,Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Gro.Ro.III.9,
286,Langendamm,Langendamm,Germany,12.45,54.29,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Lan.1,
287,Lieporiai,Lieporiai,Lithuania,23.25,55.89,Whole,Tanged Point Technocomplex,Bromme (Eastern Europe),Bromme Point,"Šatavičius 2001, 2004",Excavation,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Lie.1,
288,Lipa,Lipa,Ukraine,25.13,50.44,Whole,Tanged Point Technocomplex,Krasnosillya,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Lip.1,
289,Liutka,Liutka (B),Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Krasnosillya,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.B.1,
290,Liutka,Liutka,Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Swiderian,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.1,
291,Liutka,Liutka,Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Swiderian,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.2,
292,Liutka,Liutka,Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Swiderian,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.3,
293,Liutka,Liutka,Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Swiderian,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.8,Transition from Lyngby to Krasnosillya
294,Liutka,Liutka,Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Swiderian,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.9,Transition from Lyngby to Krasnosillya
295,Liutka,Liutka,Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Swiderian,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.10,Transition from Lyngby to Krasnosillya
296,Liutka,Liutka,Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Swiderian,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.11,Transition from Lyngby to Krasnosillya
297,Liutka,Liutka,Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Swiderian,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.12,Transition from Lyngby to Krasnosillya
298,Liutka,Liutka,Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Swiderian,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.13,Transition from Lyngby to Krasnosillya
299,Liutka,Liutka,Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Swiderian,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.14,Transition from Lyngby to Krasnosillya
300,Liutka,Liutka (B),Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Krasnosillya,Krasnosillya Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.B.2,
301,Liutka,Liutka (B),Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Krasnosillya,Krasnosillya Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.B.3,
302,Liutka,Liutka (B),Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Krasnosillya,Krasnosillya Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.B.4,
303,Liutka,Liutka (B),Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Krasnosillya,Krasnosillya Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Liu.B.5,
304,Liutka,Liutka (B),Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Krasnosillya,Krasnosillya Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,Y,N,N,2D,Y,X,,,Liu.B.6,
305,Liutka,Liutka (B),Ukraine,24.32,51.56,Whole,Tanged Point Technocomplex,Krasnosillya,Krasnosillya Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,Y,N,N,2D,Y,X,,,Liu.B.7,
306,Maćkowa Ruda,Maćkowa Ruda (3),Poland,23.18,54.05,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Ma-Ru3.1,
307,Marcinkonys,Marcinkonys (1),Lithuania,24.38,54.06,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1996; Šatavičius 2001,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Marc1.1,
308,Margių,Margių (1),Lithuania,24.7,54.04,Whole,Tanged Point Technocomplex,Bromme (Eastern Europe),Bromme Point,Rimantienė 1999; Šatavičius 2004.,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Mar1.1,"Rimantiene (1999) ascribed to Early Mesolithic, Satavicius in his PhD publication (2001) identified as Ahrensburgian, but in 2004 publication identified as Bromme"
309,Margių,Margių (1),Lithuania,24.7,54.04,Whole,Tanged Point Technocomplex,Bromme (Eastern Europe),Bromme Point,Rimantienė 1999; Šatavičius 2004.,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Mar1.3,"Rimantiene (1999) ascribed to Early Mesolithic, Satavicius in his PhD publication (2001) identified as Ahrensburgian, but in 2004 publication identified as Bromme"
310,Margių,Margių (1),Lithuania,24.7,54.04,Whole,Tanged Point Technocomplex,Bromme (Eastern Europe),Bromme Point,Rimantienė 1999; Šatavičius 2004.,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Mar1.4,"Rimantiene (1999) ascribed to Early Mesolithic, Satavicius in his PhD publication (2001) identified as Ahrensburgian, but in 2004 publication identified as Bromme"
311,Maskauka,Maskauka (6),Lithuania,24.62,54.29,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Bromme Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,Y,N,N,N,2D,Y,X,,,Mas6.1,
312,Mellensee,Mellensee,Germany,13.42,52.18,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Mell.1,
313,Mergežeris,Mergežeris (8),Lithuania,24.52,54.2,Whole,Tanged Point Technocomplex,Bromme (Eastern Europe),Bromme Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,Y,Y,N,N,2D,Y,X,,,Mer8.1,
314,Merkys-Ūla,Merkys-Ūla,Lithuania,24.34,54.16,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Bromme Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mer-Ula.1,
315,Merkys-Ūla,Merkys-Ūla,Lithuania,24.34,54.16,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Bromme Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mer-Ula.2,
316,Merkys-Ūla,Merkys-Ūla,Lithuania,24.34,54.16,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Bromme Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mer-Ula.3,
317,Merkys-Ūla,Merkys-Ūla,Lithuania,24.34,54.16,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mer-Ula.5,
318,Merkys-Ūla,Merkys-Ūla,Lithuania,24.34,54.16,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mer-Ula.6,
319,Merkys-Ūla,Merkys-Ūla,Lithuania,24.34,54.16,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mer-Ula.7,
320,Merkys-Ūla,Merkys-Ūla,Lithuania,24.34,54.16,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mer-Ula.8,
321,Merkys-Ūla,Merkys-Ūla,Lithuania,24.34,54.16,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mer-Ula.9,
322,Merkys-Ūla,Merkys-Ūla,Lithuania,24.34,54.16,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mer-Ula.10,
323,Merkys-Ūla,Merkys-Ūla,Lithuania,24.34,54.16,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mer-Ula.11,
324,Merkys-Ūla,Merkys-Ūla,Lithuania,24.34,54.16,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Tanged Point (Unspecified),Rimantienė 1971,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mer-Ula.12,
325,Mitriškės,Mitriškės (6),Lithuania,24.55,54.24,Whole,Tanged Point Technocomplex,Baltic Magdalenian,Bromme Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mit6.1,
326,Młodzieszynek,Młodzieszynek (Concentration 3),Poland,20.21,52.34,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,N,N,2D,Y,X,,,Mlodzieszynek_3_4,
327,Mokre,Mokre,Ukraine,24.33,51.53,Whole,Tanged Point Technocomplex,Lyngby,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mok.1,
328,Moldenit,Moldenit,Germany,9.62,54.54,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mol.1,
329,Motol,Motol (17),Belarus,25.59,52.32,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Kalechic and Obuchovsky 2004,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Mot.17.1,"Site attributed to Wolkusian or Krasnoselyen culture. Obuchovsky identify it as the same culture, just different names"
330,Motol,Motol (17),Belarus,25.59,52.32,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Kalechic and Obuchovsky 2004,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Mot.17.3,"Site attributed to Wolkusian or Krasnoselyen culture. Obuchovsky identify it as the same culture, just different names"
331,Motol,Motol (17),Belarus,25.59,52.32,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Kalechic and Obuchovsky 2004,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Mot.17.4,"Site attributed to Wolkusian or Krasnoselyen culture. Obuchovsky identify it as the same culture, just different names"
332,Motol,Motol (17),Belarus,25.59,52.32,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Kalechic and Obuchovsky 2004,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Mot.17.5,"Site attributed to Wolkusian or Krasnoselyen culture. Obuchovsky identify it as the same culture, just different names"
333,Motol,Motol (17),Belarus,25.59,52.32,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Kalechic and Obuchovsky 2004,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Mot.17.6,"Site attributed to Wolkusian or Krasnoselyen culture. Obuchovsky identify it as the same culture, just different names"
334,Motol,Motol (17),Belarus,25.59,52.32,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Kalechic and Obuchovsky 2004,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Mot.17.10,"Site attributed to Wolkusian or Krasnoselyen culture. Obuchovsky identify it as the same culture, just different names"
335,Motol,Motol (17),Belarus,25.59,52.32,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Kalechic and Obuchovsky 2004,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,N,N,N,2D,Y,X,,,Mot.17.11,"Site attributed to Wolkusian or Krasnoselyen culture. Obuchovsky identify it as the same culture, just different names"
336,Motol,Motol (17),Belarus,25.59,52.32,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Kalechic and Obuchovsky 2004,Excavation,Relative,,,,,,,,,Unspecified,Typology,N,Y,Y,N,2D,Y,X,,,Mot.17.13,
337,Müssen,Müssen,Germany,10.55,53.5,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Mus.1,
338,Nevir,Nevir,Ukraine,24.99,51.87,Whole,Tanged Point Technocomplex,Lyngby,Lyngby Point,Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Late Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nev.1,
339,Nieborów,Nieborów (Concentration 21),Poland,20.07,52.06,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Excavation,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Nieborow_21_8,
340,Nieborów,Nieborów (Concentration 3),Poland,20.07,52.06,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Excavation,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Nieborow_3_11,
341,Nieborów,Nieborów (Concentration 6),Poland,20.07,52.06,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Excavation,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Nieborow_6_12,
342,Nieborów,Nieborów (Concentration 14),Poland,20.07,52.06,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Excavation,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Nieborow_14_15,
343,Nieborów,Nieborów (Concentration 14),Poland,20.07,52.06,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Excavation,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Nieborow_14_16,
344,Nienwohld,Nienwohld,Germany,10.19,53.79,Whole,Lyngby,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nien.1,
345,Nobel,Nobel,Ukraine,25.76,51.87,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nob.1,
346,Nobel,Nobel,Ukraine,25.76,51.87,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nob.2,
347,Nobel,Nobel,Ukraine,25.76,51.87,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nob.3,
348,Nobel,Nobel,Ukraine,25.76,51.87,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nob.4,
349,Nobel,Nobel,Ukraine,25.76,51.87,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nob.5,
350,Nobel,Nobel,Ukraine,25.76,51.87,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nob.6,
351,Nobel,Nobel,Ukraine,25.76,51.87,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nob.7,
352,Nobel,Nobel,Ukraine,25.76,51.87,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nob.8,
353,Nobel,Nobel,Ukraine,25.76,51.87,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nob.9,
354,Nobel,Nobel (2B),Ukraine,25.76,51.87,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nob.2b.1,
355,Nobel,Nobel (2B),Ukraine,25.76,51.87,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nob.2b.2,
356,Nobel,Nobel (2B),Ukraine,25.76,51.87,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Nob.2b.3,
357,Nobel,Nobel (2B),Ukraine,25.76,51.87,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,Y,Y,N,2D,Y,X,,,Nob.2b.4,
358,Norgervaart,Norgervaart,The Netherlands,6.49,53,Whole,Federmesser,Unspecified,Tanged Point (Unspecified),Paddayya 1973,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y ,X,,,Nor.1,
359,Norgervaart,Norgervaart,The Netherlands,6.49,53,Whole,Federmesser,Unspecified,Tanged Point (Unspecified),Paddayya 1973,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y ,X,,,Nor.2,
360,Norgervaart,Norgervaart,The Netherlands,6.49,53,Whole,Federmesser,Unspecified,Tanged Point (Unspecified),Paddayya 1973,Surface Collection,Relative,,,,,,,,,Allerod,Typology,Y,N,N,N,2D,Y ,X,,,Nor.3,
361,Nørre Lyngby,Nørre Lyngby,Denmark,9.75,57.4,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y ,X,,,No.Ly.1,
362,Odrizin,Odrizin,Belarus,25.43,52.74,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Odr.1,According to Zaliznyak Odryzhin belongs to Lyngby\Krasmoselye cultures
363,Odrizin,Odrizin,Belarus,25.43,52.74,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Odr.2,According to Zaliznyak Odryzhin belongs to Lyngby\Krasmoselye cultures
364,Odrizin,Odrizin,Belarus,25.43,52.74,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Odr.4,According to Zaliznyak Odryzhin belongs to Lyngby\Krasmoselye cultures
365,Odrizin,Odrizin,Belarus,25.43,52.74,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Odr.5,According to Zaliznyak Odryzhin belongs to Lyngby\Krasmoselye cultures
366,Odrizin,Odrizin,Belarus,25.43,52.74,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Odr.6,According to Zaliznyak Odryzhin belongs to Lyngby\Krasmoselye cultures
367,Odrizin,Odrizin,Belarus,25.43,52.74,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Odr.7,According to Zaliznyak Odryzhin belongs to Lyngby\Krasmoselye cultures
368,Odrizin,Odrizin,Belarus,25.43,52.74,Whole,Tanged Point Technocomplex,Unspecified,Tanged Point (Unspecified),Zaliznyak 1999,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Odr.8,According to Zaliznyak Odryzhin belongs to Lyngby\Krasmoselye cultures
369,Osiny,Osiny (1/1),Poland,19.18,50.69,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,N,N,2D,Y,X,,,Osiny_1_1_1_17,"Some admixture (Chmielewska, 1978)"
370,Osiny,Osiny (1/1),Poland,19.18,50.69,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Osiny_1_1_1_18,"Some admixture (Chmielewska, 1978)"
371,Osiny,Osiny (1/1),Poland,19.18,50.69,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Osiny_1_1_1_19,"Some admixture (Chmielewska, 1978)"
372,Osiny,Osiny (1/1),Poland,19.18,50.69,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Osiny_1_1_1_20,"Some admixture (Chmielewska, 1978)"
373,Osiny,Osiny (1/1),Poland,19.18,50.69,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Osiny_1_1_1_21,"Some admixture (Chmielewska, 1978)"
374,Osiny,Osiny (1/1),Poland,19.18,50.69,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Osiny_2_1_1_5,"Some admixture (Chmielewska, 1978)"
375,Osiny,Osiny (1/2),Poland,19.18,50.69,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Osiny_2_1_B12_11,"Some admixture (Chmielewska, 1978)"
376,Osiny,Osiny (1/2),Poland,19.18,50.69,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Osiny_2_1_2_13,"Some admixture (Chmielewska, 1978)"
377,Osiny,Osiny (1/2),Poland,19.18,50.69,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Osiny_2_1_2_16,"Some admixture (Chmielewska, 1978)"
